	-	avyayībhāvaḥ	bahuvrīhiḥ	caturthī-tatpuruṣaḥ	dvandvaḥ	dvigu-tatpuruṣaḥ	dvitīyā-tatpuruṣaḥ	itaretara-dvandvaḥ	karmadhārayaḥ	kevala-samāsaḥ	nañ-bahuvrīhiḥ	nañ-tatpuruṣaḥ	pañcamī-tatpuruṣaḥ	saptamī-tatpuruṣaḥ	tatpuruṣaḥ	tṛtīyā-tatpuruṣaḥ	upamānam	upapada-tatpuruṣaḥ	ṣaṣṭhī-tatpuruṣaḥ
-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
avyayībhāvaḥ	1	0	0	0	0	0	0	0	0	0	0	0	0	3	18	0	0	0	1
bahuvrīhiḥ	38	0	105	2	0	13	2	2	138	0	0	73	9	0	35	2	1	0	98
caturthī-tatpuruṣaḥ	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	11
dvandvaḥ	1	3	7	1	204	0	4	0	15	0	0	1	1	2	0	0	0	0	7
dvigu-tatpuruṣaḥ	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dvitīyā-tatpuruṣaḥ	1	0	2	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	5
itaretara-dvandvaḥ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
karmadhārayaḥ	1	0	16	4	0	2	1	0	121	0	0	0	3	3	5	4	1	0	51
kevala-samāsaḥ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
nañ-bahuvrīhiḥ	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
nañ-tatpuruṣaḥ	22	0	3	0	0	0	0	0	5	0	0	293	0	0	2	0	0	0	3
pañcamī-tatpuruṣaḥ	1	0	6	0	0	0	0	1	2	0	0	0	9	0	2	0	0	0	3
saptamī-tatpuruṣaḥ	0	0	14	0	0	0	3	0	15	0	0	0	0	5	0	0	0	1	27
tatpuruṣaḥ	7	1	4	0	0	0	1	0	2	0	0	0	0	0	17	0	0	0	5
tṛtīyā-tatpuruṣaḥ	1	1	11	0	0	0	1	0	17	0	0	0	13	1	0	5	0	0	34
upamānam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
upapada-tatpuruṣaḥ	5	0	18	0	0	0	0	0	23	0	0	5	0	0	0	1	0	25	47
ṣaṣṭhī-tatpuruṣaḥ	11	0	117	1	0	1	8	11	50	0	0	0	9	1	2	1	0	3	135
